Version.[Version Name],Time.[Week],W CM Artificial Base Capacity Spread
CurrentWorkingView,01-Jan-20,4
CurrentWorkingView,05-Jan-20,7
CurrentWorkingView,12-Jan-20,7
CurrentWorkingView,19-Jan-20,7
CurrentWorkingView,26-Jan-20,6
CurrentWorkingView,01-Feb-20,1
CurrentWorkingView,02-Feb-20,7
CurrentWorkingView,09-Feb-20,7
CurrentWorkingView,16-Feb-20,7
CurrentWorkingView,23-Feb-20,7
CurrentWorkingView,01-Mar-20,7
CurrentWorkingView,08-Mar-20,7
CurrentWorkingView,15-Mar-20,7
CurrentWorkingView,22-Mar-20,7
CurrentWorkingView,29-Mar-20,3
CurrentWorkingView,01-Apr-20,4
CurrentWorkingView,05-Apr-20,7
CurrentWorkingView,12-Apr-20,7
CurrentWorkingView,19-Apr-20,7
CurrentWorkingView,26-Apr-20,5
CurrentWorkingView,01-May-20,2
CurrentWorkingView,03-May-20,7
CurrentWorkingView,10-May-20,7
CurrentWorkingView,17-May-20,7
CurrentWorkingView,24-May-20,7
CurrentWorkingView,31-May-20,1
CurrentWorkingView,01-Jun-20,6
CurrentWorkingView,07-Jun-20,7
CurrentWorkingView,14-Jun-20,7
CurrentWorkingView,21-Jun-20,7
CurrentWorkingView,28-Jun-20,3
CurrentWorkingView,01-Jul-20,4
CurrentWorkingView,05-Jul-20,7
CurrentWorkingView,12-Jul-20,7
CurrentWorkingView,19-Jul-20,7
CurrentWorkingView,26-Jul-20,6
CurrentWorkingView,01-Aug-20,1
CurrentWorkingView,02-Aug-20,7
CurrentWorkingView,09-Aug-20,7
CurrentWorkingView,16-Aug-20,7
CurrentWorkingView,23-Aug-20,7
CurrentWorkingView,30-Aug-20,2
CurrentWorkingView,01-Sep-20,5
CurrentWorkingView,06-Sep-20,7
CurrentWorkingView,13-Sep-20,7
CurrentWorkingView,20-Sep-20,7
CurrentWorkingView,27-Sep-20,4
CurrentWorkingView,01-Oct-20,3
CurrentWorkingView,04-Oct-20,7
CurrentWorkingView,11-Oct-20,7
CurrentWorkingView,18-Oct-20,7
CurrentWorkingView,25-Oct-20,7
CurrentWorkingView,01-Nov-20,7
CurrentWorkingView,08-Nov-20,7
CurrentWorkingView,15-Nov-20,7
CurrentWorkingView,22-Nov-20,7
CurrentWorkingView,29-Nov-20,2
CurrentWorkingView,01-Dec-20,5
CurrentWorkingView,06-Dec-20,7
CurrentWorkingView,13-Dec-20,7
CurrentWorkingView,20-Dec-20,7
CurrentWorkingView,27-Dec-20,5
CurrentWorkingView,01-Jan-21,2
CurrentWorkingView,03-Jan-21,7
CurrentWorkingView,10-Jan-21,7
CurrentWorkingView,17-Jan-21,7
CurrentWorkingView,24-Jan-21,7
CurrentWorkingView,31-Jan-21,1
CurrentWorkingView,01-Feb-21,6
CurrentWorkingView,07-Feb-21,7
CurrentWorkingView,14-Feb-21,7
CurrentWorkingView,21-Feb-21,7
CurrentWorkingView,28-Feb-21,1
CurrentWorkingView,01-Mar-21,6
CurrentWorkingView,07-Mar-21,7
CurrentWorkingView,14-Mar-21,7
CurrentWorkingView,21-Mar-21,7
CurrentWorkingView,28-Mar-21,4
CurrentWorkingView,01-Apr-21,3
CurrentWorkingView,04-Apr-21,7
CurrentWorkingView,11-Apr-21,7
CurrentWorkingView,18-Apr-21,7
CurrentWorkingView,25-Apr-21,6
CurrentWorkingView,01-May-21,1
CurrentWorkingView,02-May-21,7
CurrentWorkingView,09-May-21,7
CurrentWorkingView,16-May-21,7
CurrentWorkingView,23-May-21,7
CurrentWorkingView,30-May-21,2
CurrentWorkingView,01-Jun-21,5
